State 	Coalescent	pop.size.prior	 sum 	pop.size.changepoints	 mc.speed 
4472000	313.2371	-93.10747689312261	-93.10747689312261	10	37037.04
4473000	312.645	-93.77503662543486	-93.77503662543486	10	37037.04
4474000	312.5957	-94.11634648065795	-94.11634648065795	10	34482.76
4475000	313.3835	-93.36196256366091	-93.36196256366091	10	37037.04
4476000	313.1941	-94.2718495461757	-94.2718495461757	10	35714.29
4477000	313.3126	-93.830142539867	-93.830142539867	10	35714.29
4478000	312.6445	-93.60826733893383	-93.60826733893383	10	35714.29
4479000	311.5494	-93.75638399758611	-93.75638399758611	10	37037.04
4480000	312.6516	-92.14896280466323	-92.14896280466323	10	35714.29
4481000	311.5703	-93.77868459965941	-93.77868459965941	10	34482.76
4482000	312.289	-91.94760758154567	-91.94760758154567	10	35714.29
4483000	310.8421	-93.15290000645263	-93.15290000645263	10	31250.0
4484000	311.7651	-93.37094876457604	-93.37094876457604	10	37037.04
4485000	313.31	-92.84162132120342	-92.84162132120342	10	37037.04
4486000	313.4324	-91.21038126031453	-91.21038126031453	10	37037.04
4487000	313.463	-90.19370507169799	-90.19370507169799	10	33333.33
4488000	313.516	-89.75404829002154	-89.75404829002154	10	37037.04
4489000	313.3725	-89.64483592893806	-89.64483592893806	10	34482.76
4490000	313.1117	-90.11701542648935	-90.11701542648935	10	37037.04
4491000	313.1741	-89.64550131239538	-89.64550131239538	10	34482.76
4492000	313.1775	-90.7160008368015	-90.7160008368015	10	37037.04
4493000	313.3789	-90.55132133165435	-90.55132133165435	10	37037.04
4494000	312.706	-92.00966625585662	-92.00966625585662	10	35714.29
4495000	312.7528	-93.1151429045092	-93.1151429045092	10	35714.29
4496000	312.901	-91.33155244548301	-91.33155244548301	10	35714.29
4497000	313.1689	-91.74651996643927	-91.74651996643927	10	37037.04
4498000	312.1351	-91.3097832767007	-91.3097832767007	10	37037.04
4499000	311.0348	-90.80673349247103	-90.80673349247103	10	34482.76
4500000	313.115	-90.01324746187005	-90.01324746187005	10	34482.76
4501000	313.4503	-89.51514830739707	-89.51514830739707	10	37037.04
4502000	313.4558	-89.13683511624058	-89.13683511624058	10	37037.04
4503000	312.9881	-89.68045603096667	-89.68045603096667	10	33333.33
4504000	313.4085	-90.71620153764191	-90.71620153764191	10	35714.29
4505000	313.3035	-91.10155574204776	-91.10155574204776	10	37037.04
4506000	313.4573	-90.85569494815175	-90.85569494815175	10	31250.0
4507000	312.6682	-90.344597473642	-90.344597473642	10	32258.06
4508000	312.687	-91.49923826447056	-91.49923826447056	10	37037.04
4509000	312.3649	-91.94610822574587	-91.94610822574587	10	35714.29
4510000	312.2059	-94.00330222454893	-94.00330222454893	10	34482.76
4511000	312.6686	-95.75793394704392	-95.75793394704392	10	34482.76
4512000	313.4468	-94.4991279431751	-94.4991279431751	10	37037.04
4513000	312.7964	-96.31253450913715	-96.31253450913715	10	37037.04
4514000	313.175	-94.51379628280917	-94.51379628280917	10	35714.29
4515000	312.7185	-94.02943646871924	-94.02943646871924	10	32258.06
4516000	312.3744	-93.02003785528316	-93.02003785528316	10	30303.03
4517000	313.5035	-92.85809544028447	-92.85809544028447	10	33333.33
4518000	313.1738	-93.0594163959292	-93.0594163959292	10	34482.76
4519000	313.2875	-93.40436078500557	-93.40436078500557	10	34482.76
4520000	313.2607	-91.9131275336734	-91.9131275336734	10	37037.04
4521000	312.4398	-92.4797267703896	-92.4797267703896	10	37037.04
4522000	312.2628	-91.94027721836662	-91.94027721836662	10	37037.04
4523000	312.9488	-92.84497752382987	-92.84497752382987	10	33333.33
4524000	312.8978	-94.12107179401424	-94.12107179401424	10	33333.33
4525000	313.2605	-92.25822146037538	-92.25822146037538	10	35714.29
4526000	313.3876	-93.48329745960275	-93.48329745960275	10	37037.04
4527000	312.791	-93.62714363842242	-93.62714363842242	10	35714.29
4528000	312.5623	-94.22075126284432	-94.22075126284432	10	34482.76
4529000	313.2005	-92.87591472851615	-92.87591472851615	10	35714.29
4530000	313.4212	-91.63218112273525	-91.63218112273525	10	37037.04
4531000	312.543	-91.0947065816781	-91.0947065816781	10	34482.76
4532000	313.0783	-90.31674486905037	-90.31674486905037	10	33333.33
4533000	312.4434	-90.21150620650079	-90.21150620650079	10	35714.29
4534000	312.7889	-91.23130481879443	-91.23130481879443	10	35714.29
4535000	312.0921	-91.2901649796626	-91.2901649796626	10	37037.04
4536000	313.4698	-91.2627120750989	-91.2627120750989	10	35714.29
4537000	312.7629	-90.96492319097823	-90.96492319097823	10	31250.0
4538000	311.5782	-90.02207165186906	-90.02207165186906	10	37037.04
4539000	312.846	-91.18153955683081	-91.18153955683081	10	37037.04
4540000	313.4545	-91.48876999056291	-91.48876999056291	10	31250.0
4541000	313.3905	-91.03411714131157	-91.03411714131157	10	33333.33
4542000	313.2616	-91.39224378171718	-91.39224378171718	10	34482.76
4543000	311.674	-92.37933142947159	-92.37933142947159	10	33333.33
4544000	312.6661	-95.79637886889378	-95.79637886889378	10	31250.0
4545000	311.5714	-93.53033061746076	-93.53033061746076	10	37037.04
4546000	310.6906	-93.19492625614187	-93.19492625614187	10	37037.04
4547000	312.6427	-92.59319069550735	-92.59319069550735	10	37037.04
4548000	312.773	-91.80995288972291	-91.80995288972291	10	32258.06
4549000	313.079	-92.57226755180314	-92.57226755180314	10	37037.04
4550000	313.5125	-92.66575080365891	-92.66575080365891	10	37037.04
4551000	312.6923	-91.91303871568269	-91.91303871568269	10	37037.04
4552000	311.4689	-92.72684037757065	-92.72684037757065	10	34482.76
4553000	312.6226	-93.05338808104653	-93.05338808104653	10	35714.29
4554000	313.0666	-93.73454375718407	-93.73454375718407	10	37037.04
4555000	312.8777	-93.55740575568545	-93.55740575568545	10	37037.04
4556000	313.4307	-91.75743577394157	-91.75743577394157	10	30303.03
4557000	312.8959	-92.80564026659378	-92.80564026659378	10	37037.04
4558000	312.9842	-93.20444527285437	-93.20444527285437	10	37037.04
4559000	312.5477	-94.47636439037835	-94.47636439037835	10	35714.29
4560000	313.3277	-94.57237186138646	-94.57237186138646	10	34482.76
4561000	312.4412	-94.00514480613775	-94.00514480613775	10	37037.04
4562000	312.6799	-93.1595234110758	-93.1595234110758	10	35714.29
4563000	312.5515	-94.53532951347538	-94.53532951347538	10	34482.76
4564000	311.5896	-93.5674332518163	-93.5674332518163	10	34482.76
4565000	312.3916	-93.67587934936641	-93.67587934936641	10	35714.29
4566000	313.2798	-94.51494247127282	-94.51494247127282	10	37037.04
4567000	312.8562	-95.19859686126112	-95.19859686126112	10	38461.54
4568000	313.2283	-94.02236526293603	-94.02236526293603	10	33333.33
4569000	312.9558	-94.39522841640947	-94.39522841640947	10	37037.04
4570000	313.2732	-93.02122064979677	-93.02122064979677	10	35714.29
4571000	312.0273	-91.74553002656788	-91.74553002656788	10	34482.76
4572000	311.4856	-92.11049941816057	-92.11049941816057	10	35714.29
4573000	313.3755	-92.58248530733064	-92.58248530733064	10	33333.33
4574000	313.4119	-94.55960472168603	-94.55960472168603	10	34482.76
4575000	312.7828	-94.98079284418188	-94.98079284418188	10	34482.76
4576000	312.7487	-96.16755766946773	-96.16755766946773	10	35714.29
4577000	313.321	-95.00006090644023	-95.00006090644023	10	34482.76
4578000	313.5192	-95.5896153432231	-95.5896153432231	10	28571.43
4579000	313.426	-95.80496163222874	-95.80496163222874	10	35714.29
4580000	313.3487	-96.85198093810584	-96.85198093810584	10	37037.04
4581000	313.2727	-94.38474466035369	-94.38474466035369	10	35714.29
4582000	312.9252	-95.24075435510525	-95.24075435510525	10	37037.04
