State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	KappaR	KappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
440000	-10.5254	229.9826	-69014.1553941273	0.000765704	182.663342	0.31415788493718155	0.18225964734241068	0.18381697935448482	0.31976548836592295	2.647899	0.798432	0.0032178879058281	0.0032178879058281	8	10	13607	45	2782.42
445000	-7.3121	218.2002	-69003.98676181486	0.001144115	102.331252	0.3138573309464637	0.1821738584865479	0.1868092730398136	0.3171595375271748	1.788612	0.85301	0.004579092921764478	0.004579092921764478	9	10	16868	45	2753.3
450000	-10.1697	271.0022	-68982.31675894471	0.000603104	173.771691	0.31743461010850343	0.18131085582518155	0.18410340719612328	0.31715112687019165	1.756191	0.873847	0.0036312210086829446	0.0036312210086829446	10	13	14319	48	2754.82
455000	-9.5713	219.5474	-69001.85040614908	0.000765297	158.809561	0.31875587898702307	0.18452158658004997	0.18402094435664193	0.3127015900762849	1.879692	0.808186	0.0038198890796252933	0.0038198890796252933	9	9	10940	48	2702.7
460000	-8.1445	173.4844	-69028.15517126006	0.000718427	123.139911	0.31502093279750276	0.18231080242575873	0.18447795414765222	0.3181903106290863	1.98071	0.834366	0.0029906335520177778	0.0029906335520177778	5	5	10378	36	2732.24
465000	-7.9248	230.0346	-68998.67066941081	0.000588334	117.64831	0.31699420670540346	0.18166194648052694	0.1842450546721051	0.31709879214196446	1.850894	0.718827	0.0027044417996740645	0.0027044417996740645	10	10	15763	45	2760.91
470000	-16.7595	271.3915	-69005.79864386546	0.001031395	338.514609	0.3127540344508341	0.1844808983207299	0.18525854062422412	0.317506526604212	2.147347	1.013716	0.0031625265065353798	0.0031625265065353798	10	13	15269	46	2750.28
475000	-11.2618	241.2082	-68989.36232785048	0.000996479	201.072399	0.31688525909582244	0.18256406767320382	0.1859386066906969	0.3146120665402768	1.912344	0.578556	0.004711707603232683	0.004711707603232683	11	11	14285	46	2873.56
480000	-10.3639	227.0422	-68994.04346411735	0.000607336	178.626286	0.31441482649667296	0.1831245560349184	0.1842938494362833	0.3181667680321253	2.098043	0.852237	0.0033916963124993003	0.0033916963124993003	9	9	11490	48	2756.34
485000	-9.6713	219.0126	-69009.26973055967	0.000788843	161.309815	0.3178199540800455	0.18370634638011138	0.1834766965461228	0.31499700299372024	2.244055	0.950075	0.0030625971710330348	0.0030625971710330348	9	9	15464	43	2744.24
